Date,Open,High,Low,Close,Adj Close,Volume
"Jun 30, 2021",300.96,304.80,281.78,303.30,303.30,"1,903,538,448"
"Jun 29, 2021",289.92,315.44,289.22,300.21,300.21,"1,946,428,384"
"Jun 28, 2021",290.82,298.72,283.95,289.53,289.53,"1,722,578,691"
"Jun 27, 2021",279.87,291.15,270.29,290.57,290.57,"1,521,388,056"
"Jun 26, 2021",281.13,289.95,264.60,279.44,279.44,"1,921,847,994"
"Jun 25, 2021",308.58,313.98,275.84,281.62,281.62,"2,317,971,593"
"Jun 24, 2021",296.26,316.19,281.98,308.40,308.40,"2,323,626,593"
"Jun 23, 2021",262.06,309.13,252.20,294.49,294.49,"3,170,293,549"
"Jun 22, 2021",270.79,291.02,226.30,261.82,261.82,"4,089,344,405"
"Jun 21, 2021",339.33,341.80,269.43,270.98,270.98,"2,911,962,314"
"Jun 20, 2021",334.65,340.79,310.78,340.07,340.07,"1,756,674,565"
"Jun 19, 2021",337.55,345.46,332.10,335.71,335.71,"1,140,833,816"
"Jun 18, 2021",353.01,357.07,328.05,336.81,336.81,"1,613,940,591"
"Jun 17, 2021",347.21,362.26,346.04,352.74,352.74,"1,379,161,855"
"Jun 16, 2021",366.82,366.82,343.65,347.03,347.03,"1,626,149,384"
"Jun 15, 2021",372.74,379.66,363.93,373.57,373.57,"2,246,535,807"
"Jun 14, 2021",365.75,377.02,355.31,368.79,368.79,"2,271,215,183"
"Jun 13, 2021",344.04,369.06,331.11,366.65,366.65,"2,171,880,359"
"Jun 12, 2021",345.90,348.88,325.82,343.74,343.74,"2,146,761,411"
"Jun 11, 2021",352.08,365.30,341.48,345.93,345.93,"2,269,923,678"
"Jun 10, 2021",375.67,376.95,345.52,352.18,352.18,"2,505,012,942"
"Jun 09, 2021",352.77,378.74,334.42,375.73,375.73,"3,543,408,536"
"Jun 08, 2021",358.17,365.92,320.24,354.00,354.00,"4,491,122,307"
"Jun 07, 2021",393.65,407.38,355.98,357.31,357.31,"2,927,240,962"
"Jun 06, 2021",390.24,400.04,382.34,393.82,393.82,"2,101,917,655"
"Jun 05, 2021",390.96,425.90,375.07,390.43,390.43,"3,956,143,113"
"Jun 04, 2021",428.19,428.44,366.27,391.40,391.40,"4,951,450,795"
"Jun 03, 2021",401.76,432.31,392.03,427.81,427.81,"4,370,188,399"
"Jun 02, 2021",362.36,418.67,350.96,401.26,401.26,"4,486,850,584"
